brand,title,type,price,priceWithCurrency,available,availableText,sold,itemLocation,gender,update_year
Tommy Hilfiger,TOMMY GIRL by TOMMY HILFIGER for Women 0.5 oz Eau de Toilette Spray NEW IN BOX,Eau de Toilette,11.95,US $11.95/ea,8.0,8 available / 14 sold,14.0," Beauty Maxima, United States, United States",Women,2024
Dolce&Gabbana,Dolce&Gabbana Light Blue Forever for Women 3.38 fl oz Eau de Parfum Spray,Eau de Parfum,45.11,US $45.11,3.0,3 available / 5 sold,5.0,"Brooklyn, New York, United States",Women,2024
Dolce&Gabbana,Light Blue by Dolce & Gabbana for women EDT 3.3 / 3.4 oz SEALED NEW,Eau de Toilette,28.85,US $28.85/ea,7.0,7 available / 82 sold,82.0,"Hamtramck, Michigan, United States",Women,2024
Liz Claiborne,Curve Crush by Liz Claiborne EDT Perfume for Women 3.3 / 3.4 oz New In Box,Eau de Toilette,22.23,US $22.23/ea,10.0,"More than 10 available / 3,584 sold",3584.0,"Hackensack, New Jersey, United States",Women,2024
Lancôme,La Vie Est Belle INTENSEMENT by Lancome EDP for Women 3.4 oz /100ml *NEW IN BOX*,Eau de Parfum,74.99,US $74.99,10.0,More than 10 available / 160 sold,160.0,"Miami, Florida, United States",Women,2024
Banana Republic,Banana Republic Wildbloom Vert 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,20.3,US $20.30/ea,6.0,6 available / 998 sold,998.0,"Hackensack, New Jersey, United States",Women,2024
Lolita Lempicka,Lolita Lempicka by Lolita Lempicka 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,39.82,US $39.82/ea,10.0,"More than 10 available / 2,143 sold",2143.0,"Hackensack, New Jersey, United States",Women,2024
MONTALE,Roses Musk by Montale perfume for women EDP 3.3 / 3.4 oz New In Box,Eau de Parfum,55.66,US $55.66/ea,23.0,23 available / 268 sold,268.0,"Dallas, Texas, United States",Women,2024
Estée Lauder,Knowing by Estee Lauder 2.5 oz EDP Perfume for Women New In Box,Eau de Parfum,42.69,US $42.69/ea,10.0,More than 10 available / 868 sold,868.0,"Hackensack, New Jersey, United States",Women,2024
Britney Spears,Believe by Britney Spears 3.3 / 3.4 oz EDP Perfume for Women NEW IN BOX,Eau de Parfum,22.36,US $22.36/ea,46.0,46 available / 177 sold,177.0,"Dallas, Texas, United States",Women,2024
Dolce&Gabbana,Dolce & Gabbana Light Blue 1.7 oz./ 50 ml. Eau de Toilette Spray for Women New,Eau de Toilette,38.0,US $38.00/ea,10.0,10 available / 11 sold,11.0,"Katy, Texas, United States",Women,2024
ISSEY MIYAKE,L'eau D'Issey by Issey Miyake EDT Perfume for Women 1.6 oz New In Box,Eau de Toilette,31.87,US $31.87/ea,6.0,6 available / 258 sold,258.0,"Hackensack, New Jersey, United States",Women,2024
M·A·C,"M.A.C TURQUATIC Fragrance Blend Parfume Spray, 0.68 Fl Oz. / 20 mL, New In Box",Perfume,29.5,US $29.50,5.0,5 available / 7 sold,7.0,"Camarillo, California, United States",Women,2024
Parfums de Marly,1 Vial SEDLEY by PARFUMS DE MARLY for Women 0.05 oz 1.5 ml Eau de Parfum Spray,Eau de Parfum,8.99,US $8.99/ea,5.0,5 available / 126 sold,126.0,"TX, United States",Women,2024
As Show,L'Imperatrice 3 by D&G 3.3 oz 100ml Eau de Toilette Perfume for Women New In Box,Eau de Toilette,32.99,US $32.99/ea,4.0,4 available / 14 sold,14.0,"HongKong, Hong Kong",Women,2024
Thierry Mugler,Alien by Thierry Mugler 3.4 oz EDP Refill Perfume for Women New In Box,Eau de Parfum,76.34,US $76.34/ea,3.0,3 available / 92 sold,92.0,"Hackensack, New Jersey, United States",Women,2024
Versace,Yellow Diamond by Gianni Versace for women EDT 3.0 oz New Tester,Eau de Toilette,37.63,US $37.63/ea,12.0,"12 available / 1,909 sold",1909.0,"Dallas, Texas, United States",Women,2024
Salvatore Ferragamo,SALVATORE FERRAGAMO POUR FEMME edp Perfume for women 3.4 / 3.3 oz New in Box,Eau de Parfum,29.25,US $29.25/ea,56.0,"56 available / 1,347 sold",1347.0,"Dallas, Texas, United States",Women,2024
Clinique,Happy by Clinique Women's Eau de Parfum - 100ml,Perfume,23.89,US $23.89/ea,10.0,More than 10 available / 1 sold,1.0,"Dallas, Texas, United States",Women,2024
Versace,Mini Versace Dylan Blue Pour Femme 0.17 oz EDP Perfume for Women New In Box,Esprit de Parfum,9.39,US $9.39,10.0,More than 10 available / 336 sold,336.0,"Hackensack, New Jersey, United States",Women,2024
Yves Saint Laurent,Mon Paris by Yves Saint Laurent Eau De Parfum 3oz 90ml Perfume New Sealed in Box,Eau de Parfum,34.99,US $34.99/ea,6.0,6 available / 18 sold,18.0,"California USA Taiwan, Taiwan",Women,2024
Anna Sui,Anna Sui Ladies Sky EDT 2.5 oz (Tester) Fragrances 085715064172,Fragrances,32.39,US $32.39,3.0,3 available / 4 sold,4.0,"Brooklyn, New York, United States",Women,2024
Dolce&Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette Spray New Sealed,Eau de Toilette,29.75,US $29.75/ea,9.0,9 available / 108 sold,108.0,"Detroit, Michigan, United States",Women,2024
Jimmy Choo,Jimmy Choo Rose Passion By Jimmy Choo for her EDP 3.3 / 3.4 oz New Tester,Eau de Parfum,36.94,US $36.94/ea,214.0,214 available / 30 sold,30.0,"Dallas, Texas, United States",Women,2024
Givenchy,Givenchy L'interdit Nocturnal Jasmine 50ml / 1.7 oz EDP Spray Edition Millesime,Eau de Toilette,94.99,US $94.99/ea,2.0,2 available / 4 sold,4.0,"Sanborn, New York, United States",Women,2024
Yves Saint Laurent,Yves Saint Laurent Mon Paris Eau De Parfum 3 oz/90 ml for Women,Eau De Parfum,36.68,US $36.68/ea,10.0,More than 10 available / 5 sold,5.0,"Sacramento, California, United States",Women,2024
Giorgio Armani,Armani Si by Giorgio Armani Eau De Parfum 3.4 fl oz Spray Women's New & Sealed,Eau de Parfum,41.99,US $41.99/ea,2.0,2 available / 3 sold,3.0,"Huntsville, Alabama, United States",Women,2024
Lattafa,Yara by Lattafa Perfumes Femme Concentrated Oil Fragrance Roll-On (10mL),Perfume,7.2,US $7.20/ea,10.0,More than 10 available / 128 sold,128.0,"Addison, Illinois, United States",Women,2024
Baby Phat,Baby Phat Goddess by Kimora Lee Simmons 1.7oz  EDP Spray Perfume  (Pink) Rare,Eau de Parfum,79.95,US $79.95,3.0,3 available / 1 sold,1.0,"New Hyde Park, New York, United States",Women,2024
Lancôme,Lancome Idole Now 3.4oz / 100ml Eau De Parfum Spray For Women New In Box,Eau de Parfum,69.99,US $69.99,4.0,4 available / 23 sold,23.0,"California or Hong Kong, Hong Kong",Women,2024
Jo Malone,"Jo Malone London English Pear & Sweet Pea Cologne, Large Size 3.4oz/100mL,NEW",Eau de Cologne,99.0,US $99.00,2.0,2 available / 2 sold,2.0,"Novi, Michigan, United States",Women,2024
Lancôme,Lancome Tresor 3.4 oz EDP Romantic Women's Perfume Spray Timeless Fragrance,Eau de Parfum,44.99,US $44.99/ea,10.0,More than 10 available / 9 sold,9.0,"Southgate, Michigan, United States",Women,2024
Ariana Grande,Cloud by Ariana Grande 3.4 oz EDP Perfume for Women New in Box 2-5 Days Delivery,Eau de Parfum,29.6,US $29.60/ea,6.0,6 available / 20 sold,20.0,"Sayreville, New Jersey, Pakistan",Women,2024
MEM,Complete Set of 7 Love's Baby Soft by MEM  Unboxed Original 90s pl read below,Cologne,28.0,US $28.00/ea,10.0,More than 10 available / 6 sold,6.0,"Hicksville, New York, United States",Women,2024
Maison Margiela,Maison Margiela Replica Sailing Day Eau de Toilette 3.4 oz New in Box US,Eau de Toilette,48.88,US $48.88,10.0,More than 10 available / 48 sold,48.0,"College Point, New York, United States",Women,2024
Escada,Escada Santorini Sunrise by Escada Eau De Toilette Spray 3.4oz/100ml for Women,Eau De Toilette Spray 3.4 oz,38.01,US $38.01/ea,10.0,More than 10 available / 32 sold,32.0,"Hauppauge, New York, United States",Women,2024
Khadlaj,Shiyaaka KHADLAJ 100ML 3.4.OZ EAU DE PARFUM SPRAY,Eau de Parfum,38.0,US $38.00,0.0,Last One / 8 sold,8.0,"Hicksville, New York, United States",Women,2024
Ariana Grande,Cloud by Ariana Grande Perfume 3.4 oz Eau de Parfum EDP for Women BRAND NEW!!,Eau de Parfum,32.0,US $32.00/ea,9.0,9 available / 10 sold,10.0,"Hamtramck, Michigan, United States",Women,2024
Burberry,Burberry Goddess EDP Eau De Parfum Spray 3.3 oz New In Sealed Box GIFT,Eau de Parfum,95.0,US $95.00,0.0,,0.0,"West Hollywood, California, United States",Women,2024
Jimmy Choo,"I Want Choo Forever by Jimmy Choo, 3.3 oz EDP Spray for Women",Eau De Parfum,58.62,US $58.62/ea,10.0,More than 10 available / 48 sold,48.0,"Edison, New Jersey, United States",Women,2024
Kate Spade,LIVE COLORFULLY SUNSET by Kate Spade women perfume 3.4 oz 3.3 edp NEW TESTER,Eau de Parfum,20.93,US $20.93,0.0,Last One / 243 sold,243.0,"Dallas, Texas, United States",Women,2024
Dior,Miss Dior Rose N'Roses by Christian Dior for women EDT 3.3 / 3.4 oz New In Box,Eau de Toilette,85.67,US $85.67,0.0,Last One / 85 sold,85.0,"Dallas, Texas, United States",Women,2024
Marc Jacobs,Daisy Marc Jacobs Eau So Fresh POP 2.5 oz/ 75 ml EDT Spray for Women. New in Box,Eau de Toilette,74.99,US $74.99/ea,10.0,10 available / 13 sold,13.0,"Katy, Texas, United States",Women,2024
Unbranded,50ml Pheromone Perfume Spray for Women Lady Attractant Men Long Lasting Gifts,Perfume,8.99,US $8.99,10.0,More than 10 available / 120 sold,120.0,"Temecula, California, United States",Women,2024
Burberry,Burberry Her 3.3 oz EDT eau de toilette Spray Womens Perfume 100 ml New In Box,Eau de Toilette,49.99,US $49.99/ea,10.0,More than 10 available / 22 sold,22.0,"New York, New York, Taiwan",Women,2024
Jo Malone,Jo Malone Orris & Sandalwood Cologne Intense Women's Eau de 3.4 fl oz/100ml,Eau de Cologne,86.99,US $86.99,4.0,4 available / 6 sold,6.0,"Las Vegas, Nevada, United States",Women,2024
Chloé,Nomade by Chloe perfume for women EDP 2.5 oz New In Box,Eau de Parfum,67.14,US $67.14/ea,4.0,4 available / 124 sold,124.0,"Dallas, Texas, United States",Women,2024
Dolce & Gabbana,Light Blue Summer Vibes by Dolce & Gabbana 3.3 oz EDT Perfume Women New In Box,Eau de Toilette,52.38,US $52.38,10.0,More than 10 available / 27 sold,27.0,"Hackensack, New Jersey, United States",Women,2024
Dossier,Dossier Citrus Peony Eau de Parfum. Size: 50ml / 1.7oz,Eau de Parfum,22.0,US $22.00/ea,10.0,More than 10 available / 18 sold,18.0,"Los Angeles, California, United States",Women,2024
Jo Malone,Jo Malone Saffron Cologne Intense Spray Women's Eau de 3.4 fl oz/100ml,Eau de Cologne,86.99,US $86.99,5.0,5 available / 5 sold,5.0,"Las Vegas, Nevada, United States",Women,2024
Juliette has a gun,"Juliette Has a Gun PEAR INC. 1.7 oz. Eau de Parfum Spray, New in Sealed Box",Eau de Parfum,54.95,US $54.95/ea,10.0,10 available / 18 sold,18.0,"Katy, Texas, United States",Women,2024
